Celebrity,Professional,Dance,Song,Series,Week,Order,Craig,Arlene,Len,Bruno,Alesha,Darcey,Jennifer,Donny,Total
Judge Rinder,Oksana Platero,American Smooth,Marvin Gaye,14,2,13,6,0,7,7,0,7,0,0,27
Daisy Lowe,Aljaž Skorjanec,Cha-cha-cha,Forget You,14,2,14,7,0,7,8,0,8,0,0,30
Danny Mac,Oti Mabuse,Viennese Waltz,Never Tear Us Apart,14,2,15,8,0,8,8,0,8,0,0,32
Daisy Lowe,Aljaž Skorjanec,Quickstep,A Spoonful Of Sugar,14,3,1,7,0,8,8,0,8,0,0,31
Anastacia,Brendan Cole,Viennese Waltz,A Thousand Years,14,3,2,6,0,7,7,0,7,0,0,27
Danny Mac,Oti Mabuse,Paso doble,The Train/El Sombrero Blanco,14,3,3,9,0,9,9,0,9,0,0,36
Lesley Joseph,Anton du Beke,Quickstep,A Couple of Swells,14,3,4,6,0,7,7,0,7,0,0,27
Will Young,Karen Clifton,Salsa,Jai Ho (You Are My Destiny),14,3,5,8,0,7,8,0,8,0,0,31
Naga Munchetty,Pasha Kovalev,Tango,Theme from Mission Impossible,14,3,6,5,0,7,7,0,6,0,0,25
Judge Rinder,Oksana Platero,Charleston,Meet The Flintstones,14,3,7,7,0,6,6,0,8,0,0,27
Ore Oduba,Joanne Clifton,American Smooth,Singin' In The Rain,14,3,8,8,0,9,9,0,9,0,0,35
Laura Whitmore,Giovanni Pernice,Salsa,Rhythm Of The Night,14,3,9,7,0,7,9,0,7,0,0,30
Greg Rutherford,Natalie Lowe,American Smooth,(Everything I Do) I Do It For You,14,3,10,8,0,8,8,0,8,0,0,32
Claudia Fragapane,AJ Pritchard,Charleston,You Give A Little Love,14,3,11,9,0,9,9,0,9,0,0,36
Tameka Empson,Gorka Márquez,Tango,The Heat Is On,14,3,12,6,0,7,8,0,7,0,0,28
Ed Balls,Katya Jones,Samba,Cuban Pete,14,3,13,4,0,7,7,0,6,0,0,24
Louise Redknapp,Kevin Clifton,Cha-cha-cha,Flashdance … What A Feeling,14,3,14,7,0,8,8,0,8,0,0,31
Greg Rutherford,Natalie Lowe,Salsa,Wrapped Up,14,4,1,7,0,7,7,0,7,0,0,28
Laura Whitmore,Giovanni Pernice,Quickstep,Ballroom Blitz,14,4,2,8,0,8,9,0,8,0,0,33
Anastacia,Brendan Cole,Rumba,The Way We Were,14,4,3,6,0,7,7,0,7,0,0,27
Claudia Fragapane,AJ Pritchard,Foxtrot,I Really Like You,14,4,4,6,0,8,8,0,8,0,0,30
Ed Balls,Katya Jones,Paso doble,Holding Out For A Hero,14,4,5,2,0,5,4,0,5,0,0,16
Naga Munchetty,Pasha Kovalev,Charleston,Minnie The Mermaid,14,4,6,5,0,7,6,0,6,0,0,24
Louise Redknapp,Kevin Clifton,Foxtrot,Tears Dry On Their Own,14,4,7,8,0,8,9,0,8,0,0,33
Danny Mac,Oti Mabuse,Quickstep,I Won't Dance,14,4,8,9,0,9,9,0,9,0,0,36
Daisy Lowe,Aljaž Skorjanec,Rumba,Careless Whisper,14,4,9,7,0,8,8,0,8,0,0,31
Judge Rinder,Oksana Platero,Viennese Waltz,Boom Bang A Bang,14,4,10,6,0,7,7,0,7,0,0,27
Lesley Joseph,Anton du Beke,Charleston,Won't You Charleston With Me?,14,4,11,7,0,8,8,0,8,0,0,31
Ore Oduba,Joanne Clifton,Jive,Runaway Baby,14,4,12,9,0,10,10,0,10,0,0,39
Judge Rinder,Oksana Platero,Jive,Boogie Woogie Bugle Boy,14,5,1,6,0,8,7,0,8,0,0,29
